name                      ,slug                   ,description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,assets                                         ,facets                                                                          ,optionGroups     ,optionValues       ,sku           ,price  ,taxCategory,stockOnHand,trackInventory,variantAssets,variantFacets
Laptop                    ,laptop                 ,"Now equipped with seventh-generation Intel Core processors, Laptop is snappier than ever. From daily tasks like launching apps and opening files to more advanced computing, you can power through your day thanks to faster SSDs and Turbo Boost processing up to 3.6GHz.                                                                                                                                                                                                                 ",derick-david-409858-unsplash.jpg               ,category:Electronics|category:Computers|brand:Apple                             ,screen size|RAM,13 inch|8GB      ,L2201308      ,1299.00,standard   ,100        ,              ,             ,
                          ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                               ,                                                                                ,                 ,15 inch|8GB      ,L2201508      ,1399.00,standard   ,100        ,              ,             ,
                          ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                               ,                                                                                ,                 ,13 inch|16GB     ,L2201316      ,2199.00,standard   ,100        ,              ,             ,
                          ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                               ,                                                                                ,                 ,15 inch|16GB     ,L2201516      ,2299.00,standard   ,100        ,              ,             ,
Tablet                    ,tablet                 ,"If the computer were invented today, what would it look like? It would be powerful enough for any task. So mobile you could take it everywhere. And so intuitive you could use it any way you wanted — with touch, a keyboard, or even a pencil. In other words, it wouldn’t really be a ""computer."" It would be Tablet.                                                                                                                                                                 ",kelly-sikkema-685291-unsplash.jpg              ,category:Electronics|category:Computers|brand:Apple                             ,storage          ,32GB               ,TBL200032     ,329.00 ,standard   ,100        ,              ,             ,
                          ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                               ,                                                                                ,                 ,128GB              ,TBL200128     ,445.00 ,standard   ,100        ,              ,             ,
Wireless Optical Mouse    ,cordless-mouse         ,"The Logitech M185 Wireless Optical Mouse is a great device for any computer user, and as Logitech are the global market leaders for these devices, you are also guaranteed absolute reliability. A mouse to be reckoned with!                                                                                                                                                                                                                                                              ",oscar-ivan-esquivel-arteaga-687447-unsplash.jpg,category:Electronics|category:Computers|brand:Logitech                          ,                 ,                   ,834444        ,18.99  ,standard   ,100        ,              ,             ,
32-Inch Monitor           ,32-inch-monitor        ,"The UJ59 with Ultra HD resolution has 4x the pixels of Full HD, delivering more screen space and amazingly life-like images. That means you can view documents and webpages with less scrolling, work more comfortably with multiple windows and toolbars, and enjoy photos, videos and games in stunning 4K quality. Note: beverage not included.                                                                                                                                         ",daniel-korpai-1302051-unsplash.jpg             ,category:Electronics|category:Computers|brand:Samsung                           ,                 ,                   ,LU32J590UQUXEN,310.00 ,standard   ,100        ,              ,             ,
Curvy Monitor             ,curvy-monitor          ,"Discover a truly immersive viewing experience with this monitor curved more deeply than any other. Wrapping around your field of vision the 1,800 R screencreates a wider field of view, enhances depth perception, and minimises peripheral distractions to draw you deeper in to your content.                                                                                                                                                                                           ",alexandru-acea-686569-unsplash.jpg             ,category:Electronics|category:Computers|brand:Samsung                           ,monitor size     ,24 inch            ,C24F390       ,143.74 ,standard   ,100        ,              ,             ,
                          ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                               ,                                                                                ,                 ,27 inch            ,C27F390       ,169.94 ,standard   ,100        ,              ,             ,
High Performance RAM      ,high-performance-ram   ,"Each RAM module is built with a pure aluminium heat spreader for faster heat dissipation and cooler operation. Enhanced to XMP 2.0 profiles for better overclocking; Compatibility: Intel 100 Series, Intel 200 Series, Intel 300 Series, Intel X299, AMD 300 Series, AMD 400 Series.                                                                                                                                                                                                      ",liam-briese-1128307-unsplash.jpg               ,category:Electronics|category:Computers|brand:Corsair                           ,size             ,4GB                ,CMK32GX4M2AC04,137.85 ,standard   ,100        ,              ,             ,
                          ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                               ,                                                                                ,                 ,8GB                ,CMK32GX4M2AC08,146.39 ,standard   ,100        ,              ,             ,
                          ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                               ,                                                                                ,                 ,16GB               ,CMK32GX4M2AC16,281.81 ,standard   ,100        ,              ,             ,
Gaming PC                 ,gaming-pc              ,"This pc is optimised for gaming, and is also VR ready. The Intel Core-i7 CPU and High Performance GPU give the computer the raw power it needs to function at a high level.                                                                                                                                                                                                                                                                                                                ",florian-olivo-1166419-unsplash.jpg             ,category:Electronics|category:Computers|brand:ADMI                              ,cpu|HDD        ,i7-8700|240GB SSD,CGS480VR1063  ,1087.20,standard   ,100        ,              ,             ,
                          ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                               ,                                                                                ,                 ,R7-2700|240GB SSD,CGS480VR1064  ,1099.95,standard   ,100        ,              ,             ,
                          ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                               ,                                                                                ,                 ,i7-8700|120GB SSD,CGS480VR1065  ,931.20 ,standard   ,100        ,              ,             ,
                          ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                               ,                                                                                ,                 ,R7-2700|120GB SSD,CGS480VR1066  ,949.20 ,standard   ,100        ,              ,             ,
Hard Drive                ,hard-drive             ,"Boost your PC storage with this internal hard drive, designed just for desktop and all-in-one PCs.                                                                                                                                                                                                                                                                                                                                                                                         ",vincent-botta-736919-unsplash.jpg              ,category:Electronics|category:Computers|brand:Seagate                           ,HDD            ,1TB                ,IHD455T1      ,37.99  ,standard   ,100        ,              ,             ,
                          ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                               ,                                                                                ,                 ,2TB                ,IHD455T2      ,53.74  ,standard   ,100        ,              ,             ,
                          ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                               ,                                                                                ,                 ,3TB                ,IHD455T3      ,78.96  ,standard   ,100        ,              ,             ,
                          ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                               ,                                                                                ,                 ,4TB                ,IHD455T4      ,92.99  ,standard   ,100        ,              ,             ,
                          ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                               ,                                                                                ,                 ,6TB                ,IHD455T6      ,134.35 ,standard   ,100        ,              ,             ,
Clacky Keyboard           ,clacky-keyboard        ,"Let all your colleagues know that you are typing on this exclusive, colorful klicky-klacky keyboard. Huge travel on each keypress ensures maximum klack on each and every keystroke.                                                                                                                                                                                                                                                                                                       ",juan-gomez-674574-unsplash.jpg                 ,category:Electronics|category:Computers|brand:Corsair                           ,                 ,                   ,A4TKLA45535   ,74.89  ,standard   ,100        ,              ,             ,
Ethernet Cable            ,ethernet-cable         ,5m (metres) Cat.6 network cable (upwards/downwards compatible) | Patch cable | 2 RJ-45 plug | plug with bend protection mantle. High transmission speeds due to operating frequency with up to 250 MHz (in comparison to Cat.5/Cat.5e cable bandwidth of 100 MHz).                                                                                                                                                                                                                         ,thomas-q-1229169-unsplash.jpg                  ,category:Electronics|category:Computers                                         ,                 ,                   ,A23334x30     ,5.97   ,standard   ,100        ,              ,             ,
USB Cable                 ,usb-cable              ,"Solid conductors eliminate strand-interaction distortion and reduce jitter. As the surface is made of high-purity silver, the performance is very close to that of a solid silver cable, but priced much closer to solid copper cable.                                                                                                                                                                                                                                                     ",adam-birkett-239153-unsplash.jpg               ,category:Electronics|category:Computers                                         ,                 ,                   ,USBCIN01.5MI  ,69.00  ,standard   ,100        ,              ,             ,
Instant Camera            ,instant-camera         ,"With its nostalgic design and simple point-and-shoot functionality, the Instant Camera is the perfect pick to get started with instant photography.                                                                                                                                                                                                                                                                                                                                        ",eniko-kis-663725-unsplash.jpg                  ,category:Electronics|category:Photo|brand:Polaroid                              ,                 ,                   ,IC22MWDD      ,174.99 ,standard   ,100        ,              ,             ,
Camera Lens               ,camera-lens            ,This lens is a Di type lens using an optical system with improved multi-coating designed to function with digital SLR cameras as well as film cameras.                                                                                                                                                                                                                                                                                                                                     ,brandi-redd-104140-unsplash.jpg                ,category:Electronics|category:Photo|brand:Nikkon                                ,                 ,                   ,B0012UUP02    ,104.00 ,standard   ,100        ,              ,             ,
Vintage Folding Camera    ,vintage-folding-camera ,"This vintage folding camera is so antiquated that you cannot possibly hope to produce actual photographs with it. However, it makes a wonderful decorative piece for the home or office.                                                                                                                                                                                                                                                                                                   ",jonathan-talbert-697262-unsplash.jpg           ,category:Electronics|category:Photo|brand:Agfa                                  ,                 ,                   ,B00AFC9099    ,5350.00,standard   ,100        ,              ,             ,
Tripod                    ,tripod                 ,"Capture vivid, professional-style photographs with help from this lightweight tripod. The adjustable-height tripod makes it easy to achieve reliable stability and score just the right angle when going after that award-winning shot.                                                                                                                                                                                                                                                    ",zoltan-tasi-423051-unsplash.jpg                ,category:Electronics|category:Photo|brand:Manfrotto                             ,                 ,                   ,B00XI87KV8    ,14.98  ,standard   ,100        ,              ,             ,
Instamatic Camera         ,instamatic-camera      ,"This inexpensive point-and-shoot camera uses easy-to-load 126 film cartridges. A built-in flash unit ensure great results, no matter the lighting conditions.                                                                                                                                                                                                                                                                                                                              ",jakob-owens-274337-unsplash.jpg                ,category:Electronics|category:Photo|brand:Kodak                                 ,                 ,                   ,B07K1330LL    ,20.00  ,standard   ,100        ,              ,             ,
Compact Digital Camera    ,compact-digital-camera ,"Unleash your creative potential with high-level performance and advanced features such as AI-powered Real-time Eye AF; new, high-precision Real-time Tracking; high-speed continuous shooting and 4K HDR movie-shooting. The camera's innovative AF quickly and reliably detects the position of the subject and then tracks the subject's motion, keeping it in sharp focus.                                                                                                              ",patrick-brinksma-663044-unsplash.jpg           ,category:Electronics|category:Photo|brand:Sony                                  ,                 ,                   ,B07D990021    ,899.99 ,standard   ,100        ,              ,             ,
Nikkormat SLR Camera      ,nikkormat-slr-camera   ,"The Nikkormat FS was brought to market by Nikon in 1965. The lens is a 50mm f1.4 Nikkor. Nice glass, smooth focus and a working diaphragm. A UV filter and a Nikon front lens cap are included with the lens.                                                                                                                                                                                                                                                                              ",chuttersnap-324234-unsplash.jpg                ,category:Electronics|category:Photo|brand:Nikkon                                ,                 ,                   ,B07D33B334    ,615.00 ,standard   ,100        ,              ,             ,
Compact SLR Camera        ,compact-slr-camera     ,"Retro styled, portable in size and built around a powerful 24-megapixel APS-C CMOS sensor, this digital camera is the ideal companion for creative everyday photography. Packed full of high spec features such as an advanced hybrid autofocus system able to keep pace with even the most active subjects, a speedy 6fps continuous-shooting mode, high-resolution electronic viewfinder and intuitive swivelling touchscreen, it brings professional image making into everyone’s grasp.",robert-shunev-528016-unsplash.jpg              ,category:Electronics|category:Photo                                             ,                 ,                   ,B07D75V44S    ,521.00 ,standard   ,100        ,              ,             ,
Twin Lens Camera          ,twin-lens-camera       ,"What makes a Rolleiflex TLR so special? Many things. To start, TLR stands for twin lens reflex. “Twin” because there are two lenses. And reflex means that the photographer looks through the lens to view the reflected image of an object or scene on the focusing screen.                                                                                                                                                                                                               ",alexander-andrews-260988-unsplash.jpg          ,category:Electronics|category:Photo|brand:Rolleiflex                            ,                 ,                   ,B07D78JTLR    ,799.00 ,standard   ,100        ,              ,             ,
Road Bike                 ,road-bike              ,"Featuring a full carbon chassis - complete with cyclocross-specific carbon fork - and a component setup geared for hard use on the race circuit, it's got the low weight, exceptional efficiency and brilliant handling you'll need to stay at the front of the pack.                                                                                                                                                                                                                      ",mikkel-bech-748940-unsplash.jpg                ,category:Sports & Outdoor|category:Equipment|brand:Pinarello                    ,                 ,                   ,RB000844334   ,2499.00,standard   ,100        ,              ,             ,
Skipping Rope             ,skipping-rope          ,When you're working out you need a quality rope that doesn't tangle at every couple of jumps and with this skipping rope you won't have this problem. The fact that it looks like a pair of tasty frankfurters is merely a bonus.                                                                                                                                                                                                                                                          ,stoica-ionela-530966-unsplash.jpg              ,category:Sports & Outdoor|category:Equipment|brand:Everlast                     ,                 ,                   ,B07CNGXVXT    ,7.99   ,standard   ,100        ,              ,             ,
Boxing Gloves             ,boxing-gloves          ,"Training gloves designed for optimum training. Our gloves promote proper punching technique because they are conformed to the natural shape of your fist. Dense, innovative two-layer foam provides better shock absorbency and full padding on the front, back and wrist to promote proper punching technique.                                                                                                                                                                            ",neonbrand-428982-unsplash.jpg                  ,category:Sports & Outdoor|category:Equipment|brand:Everlast                     ,                 ,                   ,B000ZYLPPU    ,33.04  ,standard   ,100        ,              ,             ,
Tent                      ,tent                   ,"With tons of space inside (for max. 4 persons), full head height throughout the entire tent and an unusual and striking shape, this tent offers you everything you need.                                                                                                                                                                                                                                                                                                                   ",michael-guite-571169-unsplash.jpg              ,category:Sports & Outdoor|category:Equipment                                    ,                 ,                   ,2000023510    ,214.93 ,standard   ,100        ,              ,             ,
Cruiser Skateboard        ,cruiser-skateboard     ,"Based on the 1970s iconic shape, but made to a larger 69cm size, with updated, quality component, these skateboards are great for beginners to learn the foot spacing required, and are perfect for all-day cruising.                                                                                                                                                                                                                                                                      ",max-tarkhov-737999-unsplash.jpg                ,category:Sports & Outdoor|category:Equipment                                    ,                 ,                   ,799872520     ,24.99  ,standard   ,100        ,              ,             ,
Football                  ,football               ,"This football features high-contrast graphics for high-visibility during play, while its machine-stitched tpu casing offers consistent performance.                                                                                                                                                                                                                                                                                                                                        ",nik-shuliahin-619349-unsplash.jpg              ,category:Sports & Outdoor|category:Equipment|brand:Nike                         ,                 ,                   ,SC3137-056    ,57.07  ,standard   ,100        ,              ,             ,
Tennis Ball               ,tennis-ball            ,Our dog loves these tennis balls and they last for some time before they eventually either get lost in some field or bush or the covering comes off due to it being used most of the day every day.                                                                                                                                                                                                                                                                                        ,ben-hershey-574483-unsplash.jpg                ,category:Sports & Outdoor|category:Equipment|brand:Wilson                       ,                 ,                   ,WRT11752P     ,12.73  ,standard   ,100        ,              ,             ,
Basketball                ,basketball             ,"The Wilson MVP ball is perfect for playing basketball, and improving your skill for hours on end. Designed for new players, it is created with a high-quality rubber suitable for courts, allowing you to get full use during your practices.                                                                                                                                                                                                                                              ",tommy-bebo-600358-unsplash.jpg                 ,category:Sports & Outdoor|category:Equipment|brand:Wilson                       ,                 ,                   ,WTB1418XB06   ,35.62  ,standard   ,100        ,              ,             ,
Ultraboost Running Shoe   ,ultraboost-running-shoe,"With its ultra-light, uber-responsive magic foam and a carbon fiber plate that feels like it’s propelling you forward, the Running Shoe is ready to push you to victories both large and small                                                                                                                                                                                                                                                                                             ",chuttersnap-584518-unsplash.jpg                ,category:Sports & Outdoor|category:Footwear|brand:Adidas|color:blue|color:pink  ,size             ,Size 40            ,RS0040        ,99.99  ,standard   ,100        ,              ,             ,
                          ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                               ,                                                                                ,                 ,Size 42            ,RS0042        ,99.99  ,standard   ,100        ,              ,             ,
                          ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                               ,                                                                                ,                 ,Size 44            ,RS0044        ,99.99  ,standard   ,100        ,              ,             ,
